release_year,genre,track_count
1972,pop/standards,589
1972,latin,585
1972,folk,524
1972,soul/r&b,458
1972,indian,263
1972,jazz,190
1972,blues,187
1972,classical,89
1972,country,86
1973,rock,623
1973,latin,521
1973,pop/standards,499
1973,soul/r&b,388
1973,folk,318
1973,indian,236
1973,jazz,145
1973,classical,138
1973,blues,122
1973,country,103
1974,latin,653
1974,rock,653
1974,pop/standards,449
1974,soul/r&b,430
1974,folk,411
1974,indian,221
1974,jazz,180
1974,classical,162
1974,blues,144
1974,country,122
1974,tango,24
1975,latin,730
1975,rock,415
1975,pop/standards,411
1975,soul/r&b,353
1975,folk,344
1975,indian,246
1975,jazz,148
1975,country,143
1975,classical,140
1975,blues,53
1976,latin,591
1976,rock,419
1976,pop/standards,385
1976,soul/r&b,288
1976,folk,249
1976,indian,185
1976,classical,178
1976,jazz,157
1976,country,105
1976,blues,68
1977,latin,618
1977,rock,411
1977,pop/standards,342
1977,indian,277
1977,folk,268
1977,soul/r&b,233
1977,classical,191
1977,jazz,157
1977,country,106
1977,blues,84
1977,tango,12
1978,latin,572
1978,rock,365
1978,pop/standards,295
1978,indian,247
1978,folk,200
1978,soul/r&b,192
1978,country,115
1978,jazz,115
1978,classical,114
1978,blues,73
1979,latin,563
1979,rock,337
1979,indian,232
1979,pop/standards,211
1979,soul/r&b,201
1979,folk,169
1979,country,105
1979,classical,87
1979,jazz,84
1979,blues,60
1979,tango,11
1980,latin,624
1980,pop/standards,280
1980,classical,246
1980,indian,238
1980,soul/r&b,195
1980,rock,154
1980,folk,126
1980,jazz,81
1980,country,55
1980,blues,33
1981,latin,529
1981,pop/standards,298
1981,indian,293
1981,rock,192
1981,soul/r&b,188
1981,classical,170
1981,folk,95
1981,jazz,84
1981,country,76
1981,blues,22
1982,latin,450
1982,indian,256
1982,pop/standards,210
1982,soul/r&b,200
1982,rock,156
1982,classical,131
1982,folk,106
1982,jazz,61
1982,country,45
1982,blues,31
1983,latin,416
1983,classical,260
1983,indian,234
1983,pop/standards,210
1983,rock,159
1983,soul/r&b,134
1983,folk,106
1983,country,68
1983,jazz,49
1983,blues,36
1984,latin,571
1984,classical,191
1984,indian,156
1984,country,110
1984,pop/standards,107
1984,soul/r&b,97
1984,rock,76
1984,folk,62
1984,jazz,32
1984,blues,23
1985,latin,499
1985,pop/standards,210
1985,indian,180
1985,soul/r&b,148
1985,classical,120
1985,folk,114
1985,rock,105
1985,country,72
1985,jazz,60
1985,blues,35
1986,latin,545
1986,indian,181
1986,pop/standards,179
1986,folk,158
1986,soul/r&b,133
1986,rock,117
1986,classical,88
1986,country,76
1986,jazz,60
1986,blues,38
1987,latin,599
1987,pop/standards,267
1987,folk,152
1987,classical,144
1987,soul/r&b,143
1987,rock,123
1987,indian,119
1987,jazz,101
1987,country,57
1987,blues,28
1988,latin,553
1988,classical,233
1988,rock,225
1988,pop/standards,219
1988,indian,188
1988,folk,182
1988,soul/r&b,105
1988,jazz,76
1988,country,65
1988,blues,58
1988,tango,32
1989,latin,614
1989,pop/standards,292
1989,indian,231
1989,classical,206
1989,rock,147
1989,soul/r&b,143
1989,folk,138
1989,jazz,121
1989,blues,91
1989,country,69
1990,latin,685
1990,pop/standards,187
1990,classical,181
1990,rock,164
1990,indian,157
1990,soul/r&b,110
1990,folk,98
1990,jazz,80
1990,blues,68
1990,country,65
1991,latin,657
1991,pop/standards,445
1991,indian,238
1991,soul/r&b,197
1991,classical,105
1991,folk,90
1991,rock,89
1991,jazz,82
1991,country,66
1991,blues,53
1992,latin,635
1992,pop/standards,273
1992,indian,259
1992,classical,133
1992,rock,130
1992,folk,100
1992,soul/r&b,82
1992,jazz,74
1992,country,73
1992,blues,61
1993,latin,593
1993,indian,279
1993,pop/standards,180
1993,country,79
1993,soul/r&b,78
1993,classical,60
1993,folk,57
1993,rock,55
1993,jazz,50
1993,blues,12
1994,latin,717
1994,indian,289
1994,pop/standards,174
1994,rock,150
1994,classical,131
1994,soul/r&b,102
1994,country,101
1994,jazz,82
1994,folk,74
1994,blues,49
1994,tango,12
1995,latin,800
1995,indian,226
1995,pop/standards,199
1995,classical,190
1995,soul/r&b,171
1995,rock,134
1995,country,102
1995,folk,85
1995,jazz,84
1995,blues,24
1995,tango,15
1996,latin,970
1996,pop/standards,242
1996,indian,206
1996,soul/r&b,116
1996,rock,113
1996,classical,107
1996,jazz,97
1996,folk,81
1996,country,75
1996,blues,25
1996,tango,12
1997,latin,881
1997,pop/standards,299
1997,indian,255
1997,classical,117
1997,country,116
1997,soul/r&b,111
1997,jazz,107
1997,folk,101
1997,rock,72
1997,blues,48
1997,tango,18
1998,latin,957
1998,indian,257
1998,pop/standards,179
1998,country,163
1998,rock,112
1998,classical,101
1998,jazz,101
1998,folk,82
1998,soul/r&b,82
1998,blues,31
1999,latin,950
1999,indian,427
1999,classical,197
1999,pop/standards,178
1999,rock,138
1999,country,98
1999,folk,89
1999,soul/r&b,88
1999,jazz,78
1999,blues,26
2000,latin,459
2000,indian,271
2000,pop/standards,94
2000,rock,82
2000,country,74
2000,soul/r&b,61
2000,classical,44
2000,folk,40
2000,jazz,32
2000,blues,12
2001,latin,483
2001,indian,242
2001,pop/standards,77
2001,rock,56
2001,folk,43
2001,jazz,38
2001,soul/r&b,33
2001,classical,24
2001,country,24
2002,latin,466
2002,indian,376
2002,pop/standards,175
2002,jazz,122
2002,country,106
2002,rock,84
2002,classical,55
2002,folk,32
2002,soul/r&b,30
2002,blues,12
2003,latin,416
2003,indian,284
2003,pop/standards,122
2003,rock,85
2003,country,65
2003,soul/r&b,62
2003,classical,51
2003,jazz,36
